"(* La fecha seleccionada será la fecha para la que se grabaron los pedidos)","(*The selected date will be the date for witch the orders were recorded)"
"(*Los pedidos que no tengan la opción de reimprimir la etiqueta ya han pasado el periodo de validez de 7 días desde su grabación.)","(*Orders that don't have the option to reprint the label have alrady passed the 7-day validity period since their recording)"
"(filtrado de un total de _MAX_ registros)","(filtered from _MAX_ total entries)"
"**Los pedidos que no se pueden seleccionar ya tienen número de envío, solo se podrán reimprimir las etiquetas. (Ya se encuentran grabados)","** Orders that can not be selected already have a shipping number, only the labels can be reprinted. (They are already recorded)"
"*El servicio de entrega en oficinas no se puede realizar con importe de reembolso.","* The delivery service in offices can not be done with refund amount."
"612345789","612345789"
": Activar para ordenar la columna de manera ascendente",": activate to sort column ascending"
": Activar para ordenar la columna de manera descendente",": activate to sort column descending"
"A elegir entre: Adhesiva, medio folio y térmica.","To chose between: Sticky, half page y thermic."
"Acceso, rectificación, supresión, cancelación, limitación y portabilidad de los datos.","Access, rectification, deletion, cancellation, limitation and portability of the data."
"Acciones","Actions"
"Acepto alterar la referencia de los productos en los envios.","I agree to alter the reference of the products in the shipments."
"Activar / Desactivar","Enable / Disable"
"Activar cambio de estado de la orden","Enable change of the order status"
"Activar cambio de estado de la orden tras grabación","Activate change of order state after recording"
"Activar enlace de seguimiento en el historial de compras del cliente","Enable tracking link in customer's purchase history"
"Activar la generación de archivos de log","Enable the generation of log files"
"Activar peso por defecto","Enable default weight"
"Activar tracking automático","Enable shipping tracking"
"Actualizar configuración de usuario","Update user settings"
"Actualizar código cliente","Update client code"
"Actualizar código de cliente","Update client code"
"Actualizar datos del usuario","Update user data"
"Actualizar remitente","Update sender"
"Actualizar remitente defecto","Update default sender"
"Adhesiva","Sticky"
"Ahora tu cliente destinatario ya puede elegir cuando recibir sus compras si la franja horaria propuesta no le conviene","Now your target customer can now choose when to receive their purchases if the proposed time slot does not suit them"
"AHÓRRALES ESPERAS","SAVING ON WAITING TIMES"
"AHÓRRALES ESPERAS CON LA ENTREGA FLEXIBLE","SAVE THEM WAIT WITH FLEXIBLE DELIVERY"
"Ajustes","Settings"
"Al activar el tracking automático de pedidos, la tienda consultará de forma periódica en que estado se encuentra el pedido y lo mostrará en la tabla de histórico en la administración de las ordenes.","When activating the automatic tracking of orders, the store will periodically consult in which state the order is and will show it in the table of history in the administration of the orders."
"Al activar esta opción, el pedido cambiará al estado seleccionado tras la grabación y obtención del número de envío.","When activating this option, the order will change to the selected state after recording and obtaining the shipping number."
"Anterior","Previous"
"Anulado cex","Cancelled Cex"
"Anulado cex <span class=count">(%s)</span>  ","  Cancelled Cex <span class=count">(%s)</span>"
"Apartado de soporte para la descarga de informes de utilidad.","Support section for downloading utility reports."
"Apartado en el que guardamos las credenciales facilitadas por Correos Express. En caso de no disponer de él, pongase en contacto con Correos Express.","Section in which we keep the credentials provided by Correos Express. If you do not have it, contact Correos Express."
"Apartado en el que vincularemos los transportistas con nuestros productos. Solo apareceran los transportistas vinculados a la tienda en curso.","Section in which we will link the carriers with our products. Only the carriers linked to the current store will appear."
"aqui","here"
"aquí","here"
"Avisamos a tus clientes del estado de su envío, vía SMS.","We notify your customers of the status of your shipment, by SMS."
"Añadir códigos","Add codes"
"Añadir número de envío a la orden","Add shipping number to order"
"Añadir observaciones del cliente a la etiqueta","Add customer comments to the label"
"Aún no eres cliente","Are you not a customer yet"
"Borrado","Deleted"
"Borrar código cliente","Client Code deleted"
"Borrar código de cliente","Delete client code"
"Borrar remitente","Delete sender"
"Borrar","Delete"
"Borrará el envío de los registros de Correos Express","It will delete the shipment from the Correos Express records"
"Botón desde el que guardaremos el remitente creado.","Button from which we will save the created sender."
"Botón desde el que guardaremos los cambios del remitente.","Button from which we will save the changes to the sender."
"Botón mediante el que grabaremos el envío y obtendremos la etiqueta.","Button by which we will record the shipment and get the label."
"Botón mediante el que guardaremos nuestro remitente por defecto.", "Button that we will use to save the default sender."
"Botón para cambiar el logo en las etiquetas.","Button to change the logo on the labels."
"Botón para grabar todas las ordenes seleccionadas.","Button to record all the selected orders."
"Botón para guardar nuestra configuración de usuario.","Button to save our user configuration."
"Botón para imprimir el resumen todas los pedidos seleccionados.","Button to print the summary of all selected orders."
"Botón para imprimir todas las etiquetas seleccionadas.","Button to print all the selected labels."
"Bultos","Packages"
"Bultos por defecto","Default package"
"BULTOS","PACKAGE"
"Buscador","Search"
"Buscador de Oficinas","Office Finder"
"Buscador de Pedidos","Order Search"
"Buscar  ","Search"
"BUSCADOR OFICINAS","OFFICE FINDER"
"Buscar Envíos","Search your shipping"
"Buscar oficina","Find Office"
"Buscar oficinas","Find Office"
"Buscar","Search"
"Buscar:","Search:"
"Cambiar Imagen","Change image"
"Cambiar Logo de las Etiquetas","Change the label logo"
"Cambio de modalidad","Method change"
"Campo para indicar cualquier detalle de interés, sobre la entrega del pedido.","Field to indicate any detail of interest, about the delivery of the order."
"Campo para indicar cualquier detalle de interés, sobre la recogida del pedido.","Field to indicate any detail of interest, about the collection of the order."
"Campos para establecer el número de bultos y los kilos del paquete respectivamente.","Fields to establish the number of packages and the kilos of the package respectively."
"Cancelar","Cancel"
"Cantidad de bultos predeterminados para cada envío, este valor podrá ser modificado más adelante en el detalle del pedido.","Quantity of predetermined packages for each shipment, this value can be modified later in the detail of the order."
"Cantidad de kilos predeterminados para cada envío, este valor podrá ser modificado más adelante en el detalle del pedido.","Quantity of predetermined kg for each shipment, this value can be modified later in the detail of the order."
"Cargando...","Loading..."
"Cerrar","Close"
"Cerrar el formulario, sin guardar.","Close the form, without saving."
"CEX Ajustes","CEX Settings"
"CEX Opciones","CEX Options"
"CEX Utilidades","CEX Utilities"
"Ciudad","City"
"Click para seleccionar","Click to select"
"CLIENTE","CLIENT"
"Cod Oficina","Office code"
"Cod. Cli.","Cli. Cod."
"COD. OFICINA","OFFICE CODE"
"Codigo entregado por Correos Express. consta de 9 dígitos. En caso de no disponer de él pongase en contacto con Correos Express.  ","Code delivered by Correos Express, consists of 9 digits. If you don't have it, contact Correos Express."
"Codigo de referencia del envío.","Reference code of the shipment."
"Comercial","Commercial"
"Configura tú módulo "," Configure your module"
"Configuración","Configuration"
"Configuración de usuario de la tienda.","User configuration of the shop."
"CONFIGURACIÓN DE USUARIO","USER CONFIGURATION"
"Configuración de usuario, única para todas las tiendas.","User configuration, unique for all stores."
"Confirma el borrado","Confirm deletion"
"Confirma la operación","Confirm the operation"
"Consentimiento del interesado","Consent of the interested party"
"Contacto","Contact"
"Contrareembolso","Cash on delivery"
"Copiar datos remitente","Copy sender data"
"Correo electrónico","Email"
"Correos Express ofrece, en exclusiva y ","Correos Express offers, exclusively and "
"CORREOS EXPRESS S.L.","CORREOS EXPRESS S.L."
"Correos Express","CorreosExpress"
"CP","ZIP"
"Crear código de cliente","Create client code"
"Crear remitente","Create sender"
"Credencial facilitada por Correos Express. En caso de no disponer de ella, pongase en contacto con Correos Express.","Credential provided by Correos Express. If you don't have it, contact Correos Express."
"Credenciales inválidas","Invalid credentials"
"Credenciales inválidas, Consulte con su Comercial","Invalid credentials, check with your commercial"
"Credenciales correctas","Correct credentials"
"Cuenta Conectada","Connected account"
"Código AT","AT Code"
"Código Cliente","Client Code"
"Código cliente","Client Code"
"Código cliente de facturación","Invoice client code"
"Código de cliente invalido","Invalid customer code"
"Código de cliente no válido","Client code invalid"
"Código de cliente que se asociará al remitente, no se puede cambiar de código asociado una vez se genere el remitente.","Client code that are associated with the sender, can not change associated code once the sender is generated."
"Código de cliente actualizado con exito","Client Code has been added successfully"
"Código de cliente sobre el que se graba el envío.","Customer code on which the shipment is recorded."
"Código de cliente ya existente","Client Code already exists"
"Código de Oficina: ","Office code: "
"Código de referencia del envío.","Shipping reference code."
"Código entregado por Correos Express, consta de 9 dígitos. En caso de no disponer de él, pongase en contacto con Correos Express.","Code delivered by Correos Express, consists of 9 digits. If you don't have it, contact Correos Express."
"CÓDIGO ENVÍO","SHIPPING CODE"
"Código Postal","ZIP Code"
"Código postal destino","Delivery ZIP"
"Código postal recogida","Pick up ZIP"
"Código solicitante","Applicant code"
"Datos a mostrar en etiqueta","Data to show on label"
"Datos a mostrar en la etiqueta.","Data to show on label"
"Datos de envío para la etiqueta","Shipping data for the label"
"Datos del envío","Delivery data"
"Datos personales del remitente.","Sender's personal data."
"Debe guardar un remitente por defecto para grabar un envío.","You must save a default sender to record a shipment."
"Debe haber un mínimo de dos horas de diferencia.","There must be a minimum of two hours apart."
"DEBE INTRODUCIR UNA REFERENCIA.","YOU MUST ENTER A REFERENCE."
"Debe seleccionar al menos un elemento de la lista ","You must select at least one item from the list "
"Debe seleccionar al menos un envio de la lista","You must select at least one shipment from the list"
"Debe seleccionar al menos una orden","You must select at least one order"
"Debe seleccionar algún producto para configurar los transportistas","You must select a product to configure the carriers"
"Debe seleccionar algún producto para continuar","You must select a product to continue"
"Derechos del Interesado:","Rights of the Stakeholder:"
"Descarga de informes de las bases de datos:","Download reports from databases:"
"Descarga de informes para el soporte:  ","Download reports for Support Service:"
"Descarga de informes para la grabación del envió y/o recogida:","Downloading reports for the recording of the shipment and / or collection:"
"Descarga de informes:","Download reports:"
"Descarga los últimos registros de la base de datos histórico, con la información de las últimas peticiones y respuestas del WS.","Download the latest records from the historical database, with the information on the latest WS requests and responses."
"Descarga los últimos registros de la base de datos histórico, saveships y migrations con la información de las últimas peticiones y respuestas del WS.","Download the latest records of the historical database, saveships and migrations with the information of the last requests and responses of the WS."
"Descarga el log","Download log"
"Descargar","Download"
"Descargar el log de la última ejecución del CRON.","Download the log of the last CRON execution."
"Descargar el log de la última petición al WS.","Download the log of the last request to the WS."
"Descargar el log de la última respuesta del WS.","Download the log of the last WS response."
"Descargar la ultima peticion","Download the last request"
"Descargar los errores de actualizacion","Download update errors"
